,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
10551,2437 February 5,15:11:25,A,14.9N,52.5W
10552,2437 August 2,11:06:01,A,37.4S,2.8W
10553,2437 December 27,16:29:07,P,65.5S,98.1E
10554,2438 January 26,03:17:37,P,63.0N,90.1E
10555,2438 June 22,22:46:47,P,65.8N,8.2E
10556,2438 December 17,08:05:40,T,81.7S,84.3E
10557,2439 June 12,01:25:22,A,48.2N,165.1E
10558,2439 December 6,20:11:47,A,33.0S,120.5W
10559,2440 May 31,10:58:15,T,1.0N,21.0E
10560,2440 November 25,01:18:39,A,12.2N,164.9E
10561,2441 April 21,18:37:49,P,71.0N,136.4E
10562,2441 May 21,02:20:11,P,68.8S,167.3E
10563,2441 November 14,00:59:17,P,69.6N,166.3W
10564,2442 April 11,10:14:04,T,58.7N,6.2E
10565,2442 October 4,12:43:00,A,67.2S,54.7W
10566,2443 March 31,20:30:25,A,9.3N,123.1W
10567,2443 September 24,01:04:47,T,9.6S,164.1E
10568,2444 March 19,23:21:38,A,38.3S,149.1W
10569,2444 September 12,17:35:35,T,35.7N,67.9W
10570,2445 March 8,22:49:34,P,72.1S,50.9W
10571,2445 August 4,00:27:22,P,70.0S,147.3E
10572,2445 September 2,09:35:13,P,71.7N,154.9E
10573,2446 January 27,12:43:51,A,42.7N,13.9W
10574,2446 July 24,08:03:11,A,16.0S,61.9E
10575,2447 January 17,02:14:03,T,11.1S,152.9E
10576,2447 July 13,09:29:35,A,32.2N,45.1E
10577,2448 January 6,17:57:07,T,52.6S,82.0W
10578,2448 July 1,11:10:16,A,87.6N,135.3W
10579,2448 December 26,07:10:41,P,66.5S,94.2W
10580,2449 May 22,10:19:15,T,54.4S,59.1E
10581,2449 November 15,20:23:56,An,54.9N,89.1W
10582,2450 May 12,02:29:44,T,5.6N,151.7E
10583,2450 November 4,19:49:31,A,0.5S,109.9W
10584,2451 May 1,18:53:37,T,42.1N,114.3W
10585,2451 October 24,23:03:09,A,35.3S,178.3W
10586,2452 March 21,17:01:31,Pe,61.1S,20.1E
10587,2452 April 20,06:54:27,P,61.8N,31.5W
10588,2452 September 14,00:49:17,P,61.3N,92.5W
10589,2452 October 13,09:44:05,P,61.3S,69.3W
10590,2453 March 10,18:09:42,A,53.6S,39.1W
10591,2453 September 3,17:43:48,T,48.0N,49.1W
10592,2454 February 27,18:01:47,A,17.0S,77.3W
10593,2454 August 24,08:48:47,T,11.9N,54.3E
10594,2455 February 16,23:36:27,A,17.1N,179.6W
10595,2455 August 13,17:54:37,A,32.3S,104.2W
10596,2456 January 8,01:21:04,P,64.5S,44.5W
10597,2456 February 6,12:03:15,P,62.3N,50.1W
10598,2456 July 3,05:13:16,P,64.9N,98.1W
10599,2456 December 27,16:51:25,T,79.8S,22.0W
10600,2457 June 22,08:16:13,A,53.2N,67.4E
10601,2457 December 17,04:35:27,A,34.4S,116.2E
10602,2458 June 11,18:19:40,T,6.3N,90.0W
10603,2458 December 6,09:14:46,A,9.5N,44.7E
10604,2459 May 3,02:35:54,Pe,70.3N,4.3E
10605,2459 June 1,09:59:50,T-,67.8S,41.3E
10606,2459 November 25,08:41:41,P,68.6N,66.5E
10607,2460 April 21,18:09:49,T,66.8N,119.8W
10608,2460 October 14,20:25:57,A,73.9S,156.1E
10609,2461 April 11,04:10:36,A,15.8N,120.8E
10610,2461 October 4,09:00:22,T,16.5S,43.7E
10611,2462 March 31,06:49:44,A,31.7S,96.3E
10612,2462 September 24,01:28:08,T,28.1N,171.4E
10613,2463 March 20,06:27:54,P,72.3S,179.5W
10614,2463 August 15,07:37:35,P,70.8S,27.4E
10615,2463 September 13,17:10:28,P,72.0N,27.6E
10616,2464 February 7,21:17:16,A,45.7N,146.4W
10617,2464 August 3,14:43:00,A,24.5S,41.3W
10618,2465 January 27,11:03:49,T,8.3S,20.8E
10619,2465 July 23,15:54:48,A,25.0N,50.6W
10620,2466 January 17,02:47:01,T,50.4S,150.3E
10621,2466 July 12,17:50:51,A,79.5N,65.8W
10622,2467 January 6,15:46:09,P,67.6S,126.4E
10623,2467 June 2,17:48:24,P,64.5S,50.8W
10624,2467 November 27,04:10:21,A+,63.7N,158.3E
10625,2468 May 22,10:15:11,T,4.2N,36.0E
10626,2468 November 15,03:28:23,A,1.5S,135.7E
10627,2469 May 12,02:39:07,T,42.6N,132.9E
10628,2469 November 4,06:55:37,A,37.5S,65.7E
10629,2470 May 1,14:25:40,P,62.3N,152.9W
10630,2470 September 25,08:39:57,Pe,61.3N,141.4E
10631,2470 October 24,17:49:29,P,61.7S,160.9E
10632,2471 March 22,01:43:37,A,52.9S,151.3W
10633,2471 September 15,01:29:11,T,48.0N,162.2W
10634,2472 March 10,01:52:11,A,13.9S,165.6E
10635,2472 September 3,16:12:54,T,11.3N,55.4W
10636,2473 February 27,07:56:51,A,19.6N,54.6E
10637,2473 August 24,00:46:32,A,29.3S,153.6E
10638,2474 January 18,10:12:11,P,63.6S,173.5E
10639,2474 February 16,20:44:52,P,61.7N,171.0E
10640,2474 July 14,11:40:30,P,64.0N,155.9E
10641,2474 August 13,02:43:56,Pb,62.1S,85.2E
10642,2475 January 8,01:37:52,T,76.2S,141.8W
10643,2475 July 3,15:05:22,A,57.3N,27.7W
10644,2475 December 28,13:01:54,A,34.7S,7.6W
10645,2476 June 22,01:38:29,T,11.1N,160.4E
10646,2476 December 16,17:15:18,A,7.7N,76.3W
10647,2477 June 11,17:35:28,T,47.8S,80.8W
10648,2477 December 5,16:32:05,P,67.5N,62.0W
10649,2478 May 3,01:55:59,T,75.7N,107.7E
10650,2478 October 26,04:18:22,P,71.0S,13.3W
10651,2479 April 22,11:40:30,A,22.5N,7.5E
10652,2479 October 15,17:04:11,T,23.0S,78.3W
10653,2480 April 10,14:07:46,A,24.8S,16.0W
10654,2480 October 4,09:27:58,T,21.1N,49.2E
10655,2481 March 30,14:00:07,P,72.1S,53.5E
10656,2481 August 25,14:49:25,P,71.4S,93.5W
10657,2481 September 24,00:49:51,P,72.1N,101.0W
10658,2482 February 18,05:48:52,A,49.3N,81.2E
10659,2482 August 14,21:23:36,A,33.7S,145.8W
10660,2483 February 7,19:51:56,T,4.8S,111.2W
10661,2483 August 3,22:21:18,A,17.4N,147.7W
10662,2484 January 28,11:35:53,T,47.2S,21.5E
10663,2484 July 23,00:34:34,A,68.9N,166.0W
10664,2485 January 17,00:19:53,P,68.6S,13.0W
10665,2485 June 13,01:16:18,P,65.4S,172.3W
10666,2485 July 12,09:35:02,Pb,68.0N,145.3W
10667,2485 December 7,12:02:00,A+,64.7N,31.2E
10668,2486 June 2,17:55:28,T,1.8N,78.7W
10669,2486 November 26,11:15:08,A,2.1S,19.2E
10670,2487 May 23,10:16:15,T,42.1N,22.6E
10671,2487 November 15,14:57:35,A,39.5S,52.3W
10672,2488 May 11,21:45:56,P,62.9N,88.3E
10673,2488 November 4,02:04:56,P,62.3S,28.4E
10674,2489 April 1,09:07:55,A,54.4S,101.3E
10675,2489 September 25,09:20:22,T,48.6N,82.9E
10676,2490 March 21,09:36:11,A,11.1S,50.0E
10677,2490 September 14,23:40:38,T,10.3N,166.2W
10678,2491 March 10,16:11:57,A,22.2N,69.6W
10679,2491 September 4,07:41:15,A,27.7S,50.9E
10680,2492 January 29,19:03:43,P,62.9S,31.6E
10681,2492 February 28,05:22:53,P,61.4N,33.1E
10682,2492 July 24,18:08:32,P,63.2N,49.8E
10683,2492 August 23,09:17:49,P,61.6S,21.8W
10684,2493 January 18,10:24:30,T,72.2S,90.8E
10685,2493 July 13,21:56:36,A,60.3N,121.4W
10686,2494 January 7,21:30:21,A,33.7S,132.0W
10687,2494 July 3,08:56:16,T,15.0N,51.7E
10688,2494 December 28,01:19:29,A,6.9N,161.8E
10689,2495 June 23,01:08:06,T,37.2S,162.6E
10690,2495 December 17,00:27:39,P,66.4N,168.8E
10691,2496 May 13,09:34:25,T,81.0N,70.4W
10692,2496 November 5,12:20:23,P,70.2S,146.4W
10693,2497 May 2,19:01:52,A,29.2N,103.2W
10694,2497 October 26,01:15:23,T,29.1S,158.5E
10695,2498 April 21,21:17:12,A,17.9S,125.9W
10696,2498 October 15,17:34:44,T,14.6N,74.5W
10697,2499 April 10,21:22:39,P,71.8S,70.8W
10698,2499 September 5,22:05:19,Pe,71.9S,144.2E
10699,2499 October 5,08:36:23,P,71.9N,128.6E
10700,2500 March 1,14:14:47,H,53.9N,50.7W
10701,2500 August 26,04:08:16,A,43.8S,106.9E
10702,2501 February 19,04:35:21,T,0.6S,117.7E
10703,2501 August 15,04:52:08,Am,9.5N,113.4E
10704,2502 February 8,20:22:29,T,43.3S,107.9W
10705,2502 August 4,07:19:53,A,58.9N,91.6E
10706,2503 January 29,08:53:33,P,69.6S,153.0W
10707,2503 June 25,08:40:22,P,66.4S,66.7E
10708,2503 July 24,16:46:37,P,69.0N,95.8E
10709,2503 December 19,19:59:21,P,65.7N,97.7W
10710,2504 June 14,01:31:03,T,1.9S,167.3E
10711,2504 December 7,19:10:09,A,2.3S,99.5W
10712,2505 June 3,17:48:02,T,40.5N,86.3W
10713,2505 November 26,23:07:04,A,41.2S,171.6W
10714,2506 May 24,04:59:35,P,63.7N,29.1W
10715,2506 November 16,10:27:38,P,63.0S,106.0W
10716,2507 April 13,16:23:43,A-,61.3S,13.5E
10717,2507 October 7,17:18:18,T,50.0N,34.0W
10718,2508 April 1,17:13:22,A,8.7S,63.9W
10719,2508 September 26,07:14:51,H,9.0N,81.2E
10720,2509 March 22,00:20:47,H,24.8N,168.2E
10721,2509 September 15,14:42:15,A,27.3S,53.4W
10722,2510 February 10,03:51:56,P,62.2S,109.1W
10723,2510 March 11,13:54:45,P,61.1N,103.2W
10724,2510 August 6,00:38:56,Pe,62.6N,56.5W
10725,2510 September 4,15:56:49,P,61.2S,130.0W
10726,2511 January 30,19:09:33,T,68.1S,39.5W
10727,2511 July 26,04:49:26,A,62.1N,146.2E
10728,2512 January 20,05:57:20,A,31.9S,103.6E
10729,2512 July 14,16:14:11,T,18.1N,56.5W
10730,2513 January 8,09:25:23,A,7.0N,39.7E
10731,2513 July 4,08:38:16,T,29.6S,48.0E
10732,2513 December 28,08:28:06,P,65.4N,38.8E
10733,2514 May 25,17:04:32,P,68.5N,123.2E
10734,2514 November 17,20:31:22,P,69.3S,78.9E
10735,2515 May 15,02:12:11,A,36.0N,149.4E
10736,2515 November 7,09:35:34,T,34.4S,33.9E
10737,2516 May 3,04:17:47,A,10.9S,126.7E
10738,2516 October 27,01:48:46,T,8.8N,160.5E
10739,2517 April 22,04:39:28,P,71.2S,166.8E
10740,2517 October 16,16:28:59,P,71.6N,3.1W
10741,2518 March 12,22:37:02,T,59.1N,176.7E
10742,2518 September 6,10:55:41,A,54.9S,4.8W
10743,2519 March 2,13:15:24,T,4.2N,12.9W
10744,2519 August 26,11:27:49,A,1.4N,12.7E
10745,2520 February 20,05:04:06,T,38.7S,122.7E
10746,2520 August 14,14:11:41,A,49.7N,12.9W
10747,2521 February 8,17:22:54,P,70.5S,67.4E
10748,2521 July 5,16:04:53,P,67.4S,54.7W
10749,2521 August 4,00:02:18,P,69.9N,24.8W
10750,2521 December 30,03:58:50,P,66.8N,132.5E
10751,2522 June 25,09:03:45,T,6.6S,53.5E
10752,2522 December 19,03:10:40,A,2.0S,140.4E
10753,2523 June 15,01:12:30,T,37.5N,166.2E
10754,2523 December 8,07:24:54,A,42.4S,67.5E
10755,2524 June 3,12:04:40,P,64.5N,144.5W
10756,2524 November 26,18:58:09,P,63.8S,117.4E
10757,2525 April 23,23:30:15,P,61.8S,101.6W
10758,2525 October 18,01:23:55,T,52.7N,152.5W
10759,2526 April 13,00:43:02,A,7.1S,175.8W
10760,2526 October 7,14:54:21,H,7.5N,33.0W
10761,2527 April 2,08:23:26,H,27.3N,48.1E
10762,2527 September 26,21:48:45,A,27.9S,158.9W
10763,2528 February 21,12:36:45,Pe,61.8S,111.1E
10764,2528 March 21,22:20:29,P,61.1N,122.0E
10765,2528 September 14,22:42:54,P,61.0S,120.2E
10766,2529 February 10,03:52:31,T,64.3S,170.7W
10767,2529 August 5,11:45:36,A,62.9N,53.9E
10768,2530 January 30,14:23:10,A,29.3S,21.0W
10769,2530 July 25,23:33:49,T,20.2N,164.6W
10770,2531 January 19,17:31:19,A,7.9N,82.4W
10771,2531 July 15,16:07:33,T,23.8S,65.5W
10772,2532 January 8,16:31:05,P,64.4N,91.4W
10773,2532 June 5,00:28:58,P,67.5N,1.3E
10774,2532 July 4,08:54:58,Pb,64.9S,27.8E
10775,2532 November 28,04:49:26,P,68.3S,57.0W
10776,2533 May 25,09:15:50,A,42.6N,44.8E
10777,2533 November 17,18:03:10,T,38.9S,91.5W
10778,2534 May 14,11:09:29,A,4.1S,21.9E
10779,2534 November 7,10:10:07,T,3.9N,34.0E
10780,2535 May 3,11:47:37,P,70.4S,47.1E
10781,2535 October 28,00:29:34,P,70.9N,136.3W
10782,2536 March 23,06:51:06,T,65.3N,42.0E
10783,2536 September 16,17:50:18,A,67.2S,131.1W
10784,2537 March 12,21:49:07,T,9.5N,142.2W
10785,2537 September 5,18:08:59,A,6.7S,89.6W
10786,2538 March 2,13:41:10,T,33.6S,6.5W
10787,2538 August 25,21:08:14,A,40.7N,119.1W
10788,2539 February 20,01:48:05,P,71.3S,71.7W
10789,2539 July 16,23:27:49,P,68.3S,176.3W
10790,2539 August 15,07:21:01,P,70.8N,146.7W
10791,2540 January 10,12:01:35,P,67.9N,1.3E
10792,2540 July 5,16:34:26,T,12.4S,60.6W
10793,2540 December 29,11:15:59,A,1.0S,19.0E
10794,2541 June 25,08:33:57,T,33.5N,58.6E
10795,2541 December 18,15:48:55,A,42.8S,54.7W
10796,2542 June 14,19:03:09,A,74.8N,113.4E
10797,2542 December 8,03:35:01,T-,64.7S,21.0W
10798,2543 May 5,06:29:19,P,62.3S,145.1E
10799,2543 October 29,09:36:30,Tn,58.7N,91.9E
10800,2544 April 23,08:05:34,A,6.3S,74.0E
10801,2544 October 17,22:41:14,H,5.9N,149.2W
10802,2545 April 12,16:19:46,H,29.4N,69.8W
10803,2545 October 7,05:01:15,A,29.1S,94.4E
10804,2546 April 2,06:39:22,P,61.2N,11.0W
10805,2546 September 26,05:36:28,P,61.0S,8.5E
10806,2547 February 21,12:29:30,T,61.1S,59.6E
10807,2547 August 16,18:46:36,A,63.0N,38.6W
10808,2548 February 10,22:44:25,A,26.3S,144.9W
10809,2548 August 5,06:56:36,Tm,21.4N,86.6E
10810,2549 January 30,01:34:51,A,9.4N,156.1E
10811,2549 July 25,23:37:26,T,19.5S,178.5W
10812,2550 January 19,00:36:25,P,63.5N,138.2E
10813,2550 June 16,07:45:35,P,66.4N,118.1W
10814,2550 July 15,16:14:58,P,64.0S,91.6W
10815,2550 December 9,13:15:41,P,67.2S,165.7E
10816,2551 June 5,16:10:40,A,49.0N,56.1W
10817,2551 November 29,02:38:19,T,42.3S,142.3E
10818,2552 May 24,17:54:09,A,2.5N,80.5W
10819,2552 November 17,18:38:45,T,0.3S,93.9W
10820,2553 May 13,18:51:21,P,69.5S,70.8W
10821,2553 November 7,08:35:22,P,70.2N,89.7E
10822,2554 April 3,15:00:51,T,71.5N,102.2W
10823,2554 September 28,00:50:14,P,72.3S,76.0E
10824,2555 March 24,06:16:23,T,15.2N,90.0E
10825,2555 September 17,00:58:18,A,14.8S,165.9E
10826,2556 March 12,22:11:21,T,28.1S,134.7W
10827,2556 September 5,04:13:26,A,32.2N,132.5E
10828,2557 March 2,10:05:49,P,71.8S,150.5E
10829,2557 July 27,06:54:08,P,69.3S,60.9E
10830,2557 August 25,14:46:39,P,71.4N,89.1E
10831,2558 January 20,20:03:53,P,69.0N,130.4W
10832,2558 July 17,00:03:14,T,19.2S,175.0W
10833,2559 January 9,19:24:29,A,0.6N,103.4W
10834,2559 July 6,15:50:37,Tm,28.4N,48.9W
10835,2559 December 30,00:17:19,A,42.2S,177.9W
10836,2560 June 25,01:55:50,A,86.4N,91.3E
10837,2560 December 18,12:17:54,T,73.6S,153.6W
10838,2561 May 15,13:20:16,P,63.1S,33.6E
10839,2561 November 8,17:55:40,P,62.5N,31.3W
10840,2562 May 4,15:21:29,A,6.5S,34.5W
10841,2562 October 29,06:34:40,A,4.6N,92.7E
10842,2563 April 24,00:08:31,T,31.1N,174.8E
10843,2563 October 18,12:21:39,A,30.7S,14.2W
10844,2564 April 12,14:51:42,P,61.5N,142.5W
10845,2564 October 6,12:38:14,P,61.1S,105.2W
10846,2565 March 3,21:01:39,T,58.7S,68.8W
10847,2565 August 27,01:53:56,A,63.0N,129.3W
10848,2566 February 21,07:01:44,A,22.9S,91.8E
10849,2566 August 16,14:22:25,T,21.8N,22.8W
10850,2567 February 10,09:35:51,A,11.4N,35.2E
10851,2567 August 6,07:09:09,T,16.5S,68.5E
10852,2568 January 30,08:39:47,P,62.7N,8.6E
10853,2568 June 26,14:58:55,P,65.5N,123.7E
10854,2568 July 25,23:36:01,P,63.3S,149.0E
10855,2568 December 19,21:47:01,P,66.2S,27.6E
10856,2569 June 15,23:00:08,A,54.8N,153.7W
10857,2569 December 9,11:18:32,T,44.7S,15.8E
10858,2570 June 5,00:32:17,A,8.7N,179.4E
10859,2570 November 29,03:13:44,T,3.4S,137.1E
10860,2571 May 25,01:47:00,A,57.9S,169.4E
10861,2571 November 18,16:49:14,P,69.2N,45.7W
10862,2572 April 13,23:02:08,P,71.5N,81.8E
10863,2572 October 8,07:58:20,P,72.0S,44.8W
10864,2573 April 3,14:36:16,T,21.4N,35.9W
10865,2573 September 27,07:55:50,A,22.7S,59.4E
10866,2574 March 24,06:34:21,T,22.3S,98.3E
10867,2574 September 16,11:25:01,A,24.0N,22.4E
10868,2575 March 13,18:17:20,P,72.1S,13.8E
10869,2575 August 7,14:21:38,P,70.1S,62.9W
10870,2575 September 5,22:17:41,P,71.9N,37.0W
10871,2576 February 1,04:04:59,P,70.0N,97.6E
10872,2576 July 27,07:32:31,T,26.9S,69.5E
10873,2577 January 20,03:35:00,A,2.8N,133.7E
10874,2577 July 16,23:05:23,T,22.5N,156.8W
10875,2578 January 9,08:49:00,A,40.7S,57.7E
10876,2578 July 6,08:44:44,A,78.8N,61.1E
10877,2578 December 29,21:04:04,T,77.9S,61.6E
10878,2579 May 26,20:04:28,P,63.9S,76.4W
10879,2579 November 20,02:21:42,P,63.3N,166.5W
10880,2580 May 14,22:32:12,A,7.9S,141.9W
10881,2580 November 8,14:34:19,A,3.4N,27.1W
10882,2581 May 4,07:51:50,T,32.0N,61.3E
10883,2581 October 28,19:49:23,A,32.6S,124.3W
10884,2582 April 23,22:55:56,Tn,62.8N,91.1E
10885,2582 October 17,19:49:11,P,61.4S,138.8E
10886,2583 March 15,05:25:52,T,57.4S,166.2E
10887,2583 September 7,09:09:01,P,61.3N,150.8E
10888,2584 March 3,15:10:31,A,19.6S,29.8W
10889,2584 August 26,21:54:18,T,21.4N,134.0W
10890,2585 February 20,17:31:56,A,13.8N,84.3W
10891,2585 August 16,14:42:33,T,14.7S,44.5W
10892,2586 February 9,16:42:36,P,62.0N,120.6W
10893,2586 July 7,22:07:07,P,64.5N,7.2E
10894,2586 August 6,06:55:48,P,62.6S,30.2E
10895,2586 December 31,06:23:26,P,65.1S,111.3W
10896,2587 June 27,05:42:58,A,59.9N,113.1E
10897,2587 December 20,20:04:49,T,45.6S,111.5W
10898,2588 June 15,07:06:20,A,14.3N,81.1E
10899,2588 December 9,11:53:28,T,5.6S,7.2E
10900,2589 June 4,08:40:23,A,42.8S,58.6E
10901,2589 November 29,01:08:10,P,68.2N,178.3E
10902,2590 April 25,06:57:46,P,70.9N,50.1W
10903,2590 October 19,15:13:18,P,71.5S,167.0W
10904,2591 April 14,22:49:07,T,27.7N,160.0W
10905,2591 October 8,15:02:49,A,30.2S,49.1W
10906,2592 April 3,14:48:32,T,16.3S,26.7W
10907,2592 September 26,18:47:01,A,16.4N,90.2W
10908,2593 March 24,02:19:51,P,72.1S,120.7W
10909,2593 August 17,21:53:04,Pe,70.8S,171.9E
10910,2593 September 16,05:55:38,P,72.2N,165.1W
10911,2594 February 11,12:02:17,P,70.9N,34.1W
10912,2594 August 7,15:02:42,T,35.6S,47.4W
10913,2595 January 31,11:44:03,A,5.9N,10.9E
10914,2595 July 28,06:18:18,T,15.8N,94.8E
10915,2596 January 20,17:22:01,A,38.3S,67.6W
10916,2596 July 16,15:30:49,A,69.4N,32.6W
10917,2597 January 9,05:52:34,T,80.8S,94.3W
10918,2597 June 6,02:43:07,P,64.8S,174.7E
10919,2597 July 5,17:53:16,Pb,67.4N,99.2E
10920,2597 November 30,10:54:08,P,64.1N,56.4E
10921,2598 May 26,05:36:09,A,10.6S,112.1E
10922,2598 November 19,22:41:03,A,2.6N,148.8W
10923,2599 May 15,15:28:44,T,32.0N,50.2W
10924,2599 November 9,03:25:06,A,34.5S,123.9E
10925,2600 May 5,06:53:54,T,68.5N,2.2E
10926,2600 October 29,03:09:34,P,61.8S,20.3E
10927,2601 March 26,13:43:55,T,58.0S,45.6E
10928,2601 September 18,16:30:38,P,61.1N,32.1E
10929,2602 March 15,23:13:25,A,16.4S,150.0W
10930,2602 September 8,05:31:32,T,20.6N,113.3E
10931,2603 March 5,01:21:16,A,16.3N,158.1E
10932,2603 August 28,22:20:26,T,13.9S,158.4W
10933,2604 February 22,00:40:35,P,61.5N,111.5E
10934,2604 July 19,05:14:31,P,63.7N,108.8W
10935,2604 August 17,14:18:38,P,62.0S,89.1W
10936,2605 January 11,15:01:06,P,64.2S,110.0E
10937,2605 July 8,12:23:21,A,64.0N,24.0E
10938,2606 January 1,04:53:56,T,45.3S,120.5E
10939,2606 June 27,13:34:39,A,19.3N,15.0W
10940,2606 December 21,20:37:56,T,6.7S,123.7W
10941,2607 June 16,15:28:35,A,32.6S,47.0W
10942,2607 December 11,09:32:40,P,67.1N,41.5E
10943,2608 May 6,14:45:32,P,70.1N,179.4W
10944,2608 June 4,23:55:35,Pb,67.5S,168.1W
10945,2608 October 30,22:37:25,P,70.8S,69.0E
10946,2609 April 26,06:54:26,T,34.2N,78.2E
10947,2609 October 19,22:18:05,A,37.4S,159.2W
10948,2610 April 15,22:55:08,T,10.2S,150.0W
10949,2610 October 9,02:17:27,A,9.2N,155.4E
10950,2611 April 5,10:13:05,P,71.9S,107.3E
10951,2611 September 28,13:41:25,T,69.6N,39.6E
10952,2612 February 23,19:55:50,P,71.6N,165.6W
10953,2612 August 18,22:35:27,T,45.2S,166.8W
10954,2613 February 11,19:51:44,A,9.6N,111.8W
10955,2613 August 8,13:32:05,T,8.7N,14.5W
10956,2614 February 1,01:55:16,A,35.0S,166.3E
10957,2614 July 28,22:14:49,A,60.2N,132.0W
10958,2615 January 21,14:42:02,T,81.6S,99.5E
10959,2615 June 18,09:17:56,P,65.7S,66.4E
10960,2615 July 18,00:19:58,P,68.4N,8.1W
10961,2615 December 12,19:30:54,P,65.1N,82.1W
10962,2616 June 6,12:37:18,A,14.5S,6.3E
10963,2616 December 1,06:53:19,A,2.1N,88.0E
10964,2617 May 26,23:01:04,T,31.0N,160.5W
10965,2617 November 20,11:07:13,A,36.2S,11.0E
10966,2618 May 16,14:44:47,T,70.9N,97.2W
10967,2618 November 9,10:39:32,A-,62.4S,100.7W
10968,2619 April 6,21:51:02,P,61.2S,60.7W
10969,2619 September 30,00:02:28,P,61.2N,89.2W
10970,2620 March 26,07:06:11,A,13.7S,92.2E
10971,2620 September 18,13:15:47,T,19.4N,1.6W
10972,2621 March 15,09:03:08,A,18.9N,42.7E
10973,2621 September 8,06:02:19,T,14.1S,86.8E
10974,2622 March 4,08:34:43,P,61.2N,15.3W
10975,2622 July 30,12:18:09,Pe,63.0N,136.4E
10976,2622 August 28,21:41:59,P,61.6S,151.5E
10977,2623 January 22,23:41:24,P,63.3S,29.1W
10978,2623 July 19,19:00:06,A,66.8N,60.2W
10979,2624 January 12,13:45:09,T,43.8S,8.4W
10980,2624 July 7,20:02:10,Am,23.4N,110.2W
10981,2625 January 1,05:25:27,T,6.8S,104.8E
10982,2625 June 26,22:15:44,A,24.6S,150.9W
10983,2625 December 21,18:00:12,P,66.1N,95.5W
10984,2626 May 17,22:28:40,P,69.1N,53.1E
10985,2626 June 16,07:13:26,P,66.5S,72.1E
10986,2626 November 11,06:08:45,P,70.0S,56.1W
10987,2627 May 7,14:52:04,T,40.8N,41.0W
10988,2627 October 31,05:43:51,A,44.0S,89.1E
10989,2628 April 26,06:52:57,T,4.0S,89.1E
10990,2628 October 19,09:57:24,A,2.7N,39.0E
10991,2629 April 15,17:56:38,P,71.5S,22.1W
10992,2629 October 8,21:35:29,T,59.0N,106.3W
10993,2630 March 6,03:42:09,P,72.1N,64.3E
10994,2630 August 30,06:10:52,T,56.1S,68.9E
10995,2631 February 23,03:55:11,A,14.0N,126.3E
10996,2631 August 19,20:47:03,T,1.2N,124.7W
10997,2632 February 12,10:25:37,A,30.9S,40.1E
10998,2632 August 8,04:59:27,A,51.2N,126.5E
10999,2633 January 31,23:31:25,T,79.9S,64.6W
11000,2633 June 28,15:48:41,Pe,66.7S,41.2W
11001,2633 July 28,06:45:14,P,69.4N,115.6W
11002,2633 December 23,04:12:15,P,66.1N,137.9E
11003,2634 June 17,19:34:22,A,19.8S,99.1W
11004,2634 December 12,15:11:13,A,2.2N,36.7W
11005,2635 June 7,06:28:22,T,28.8N,90.3E
11006,2635 December 1,18:56:55,A,37.4S,103.5W
11007,2636 May 26,22:30:53,T,71.8N,165.5E
11008,2636 November 19,18:16:59,As,70.9S,163.3E
11009,2637 April 17,05:51:33,P,61.6S,170.8E
11010,2637 October 10,07:42:11,P,61.4N,147.6E
11011,2638 April 6,14:50:17,A,11.6S,23.4W
11012,2638 September 29,21:06:37,T,18.1N,118.4W
11013,2639 March 26,16:36:39,A,21.4N,70.2W
11014,2639 September 19,13:50:24,T,15.0S,29.4W
11015,2640 March 14,16:21:09,P,61.0N,140.1W
11016,2640 September 8,05:10:48,P,61.3S,30.9E
11017,2641 February 2,08:20:04,P,62.6S,167.5W
11018,2641 July 30,01:35:56,A,68.1N,140.0W
11019,2642 January 22,22:36:33,T,41.4S,138.1W
11020,2642 July 19,02:27:54,A,26.6N,155.8E
11021,2643 January 12,14:14:06,T,6.0S,27.0W
11022,2643 July 8,05:00:57,A,18.2S,106.7E
11023,2644 January 2,02:31:07,A+,65.0N,127.1E
11024,2644 May 28,06:05:58,P,68.2N,72.3W
11025,2644 June 26,14:29:01,P,65.5S,46.7W
11026,2644 November 21,13:47:29,P,69.0S,177.5E
11027,2645 May 17,22:43:18,T,47.4N,157.7W
11028,2645 November 10,13:18:36,A,49.9S,23.6W
11029,2646 May 7,14:41:46,T,2.1N,29.4W
11030,2646 October 30,17:46:59,A,3.2S,79.4W
11031,2647 April 27,01:30:49,P,70.8S,148.5W
11032,2647 October 20,05:38:03,T,50.5N,122.8E
11033,2648 March 16,11:21:54,P,72.3N,64.5W
11034,2648 September 9,13:51:23,Ts,70.1S,79.1W
11035,2649 March 5,11:55:21,A,19.0N,5.2E
11036,2649 August 30,04:03:55,T,6.5S,124.2E
11037,2650 February 22,18:53:59,A,26.2S,86.4W
11038,2650 August 19,11:45:23,A,42.4N,23.7E
11039,2651 February 12,08:17:28,T,76.6S,139.9E
11040,2651 August 8,13:13:27,P,70.3N,135.6E
11041,2652 January 3,12:55:42,P,67.2N,3.1W
11042,2652 June 28,02:31:12,A,26.5S,154.7E
11043,2652 December 22,23:31:17,A,2.8N,162.0W
11044,2653 June 17,13:53:05,T,25.5N,18.8W
11045,2653 December 12,02:51:33,A,38.0S,141.1E
11046,2654 June 7,06:09:50,T,70.6N,70.1E
11047,2654 December 1,02:03:29,A,75.8S,53.4E
