Day,Date,Time,Flag
Friday,2039-09-02,9:23:36 pm,
Sunday,2039-10-02,9:23:18 am,
Monday,2039-10-31,11:36:18 pm,
Wednesday,2039-11-30,5:49:36 pm,[*]
Friday,2039-12-30,1:37:48 pm,
Sunday,2040-01-29,8:54:42 am,
Tuesday,2040-02-28,1:59:36 am,
Wednesday,2040-03-28,5:11:42 pm,
Friday,2040-04-27,4:37:54 am,
Saturday,2040-05-26,1:47:06 pm,[**]
Sunday,2040-06-24,9:19:24 pm,
Tuesday,2040-07-24,4:05:42 am,
Wednesday,2040-08-22,11:09:42 am,
Thursday,2040-09-20,7:42:48 pm,
Saturday,2040-10-20,6:49:54 am,
Sunday,2040-11-18,8:06:12 pm,[**]
Tuesday,2040-12-18,1:15:48 pm,
Thursday,2041-01-17,8:11:24 am,
Saturday,2041-02-16,3:21:18 am,
Sunday,2041-03-17,9:19:12 pm,
Tuesday,2041-04-16,2:00:42 pm,
Thursday,2041-05-16,2:52:24 am,[*]
Friday,2041-06-14,12:58:48 pm,
Saturday,2041-07-13,9:00:54 pm,
Monday,2041-08-12,4:04:42 am,
Tuesday,2041-09-10,11:23:54 am,
Wednesday,2041-10-09,8:02:42 pm,
Friday,2041-11-08,5:43:30 am,[*]
Saturday,2041-12-07,6:42:18 pm,
Monday,2042-01-06,9:54:00 am,
Wednesday,2042-02-05,2:57:48 am,
Thursday,2042-03-06,9:10:00 pm,
Saturday,2042-04-05,4:16:00 pm,[/]
Monday,2042-05-05,8:48:36 am,
Tuesday,2042-06-03,10:48:18 pm,
Thursday,2042-07-03,10:09:24 am,
Friday,2042-08-01,7:33:24 pm,
Sunday,2042-08-31,4:02:24 am,[+]
Monday,2042-09-29,12:34:24 pm,[/]
Tuesday,2042-10-28,8:48:30 pm,
Thursday,2042-11-27,7:06:06 am,
Friday,2042-12-26,6:42:48 pm,
Sunday,2043-01-25,7:56:42 am,
Monday,2043-02-23,10:58:00 pm,
Wednesday,2043-03-25,3:26:24 pm,[**]
Friday,2043-04-24,9:23:06 am,
Sunday,2043-05-24,1:37:00 am,
Monday,2043-06-22,4:20:42 pm,
Wednesday,2043-07-22,5:24:18 am,
Thursday,2043-08-20,5:04:36 pm,
Saturday,2043-09-19,3:47:06 am,[**]
Sunday,2043-10-18,1:55:48 pm,
Monday,2043-11-16,10:52:36 pm,
Wednesday,2043-12-16,9:02:06 am,
Thursday,2044-01-14,7:51:12 pm,
Saturday,2044-02-13,7:41:48 am,
Sunday,2044-03-13,8:41:12 pm,[**]
Tuesday,2044-04-12,11:39:12 am,
Thursday,2044-05-12,2:16:42 am,
Friday,2044-06-10,5:16:12 pm,
Sunday,2044-07-10,8:22:06 am,
Monday,2044-08-08,11:14:00 pm,
Wednesday,2044-09-07,1:24:30 pm,[**]
Friday,2044-10-07,2:30:06 am,
Saturday,2044-11-05,1:26:48 pm,
Monday,2044-12-05,12:34:00 am,
Tuesday,2045-01-03,11:20:30 am,
Wednesday,2045-02-01,10:05:36 pm,
Friday,2045-03-03,8:52:42 am,[/]
Saturday,2045-04-01,8:43:06 pm,
Monday,2045-05-01,7:52:18 am,
Tuesday,2045-05-30,7:52:30 pm,
Thursday,2045-06-29,9:15:54 am,
Saturday,2045-07-29,12:10:42 am,
Sunday,2045-08-27,4:07:48 pm,[/]
Tuesday,2045-09-26,8:11:36 am,
Wednesday,2045-10-25,11:31:18 pm,
Friday,2045-11-24,12:43:36 pm,
Sunday,2045-12-24,1:49:18 am,
Monday,2046-01-22,1:51:24 pm,[*]
Wednesday,2046-02-21,12:44:24 am,
Thursday,2046-03-22,10:27:00 am,
Friday,2046-04-20,8:21:12 pm,
Sunday,2046-05-20,5:15:24 am,
Monday,2046-06-18,3:10:06 pm,
Wednesday,2046-07-18,2:55:06 am,[*]
Thursday,2046-08-16,4:50:12 pm,
Saturday,2046-09-15,8:39:30 am,
Monday,2046-10-15,1:41:24 am,
Tuesday,2046-11-13,6:04:30 pm,
Thursday,2046-12-13,10:55:30 am,
Saturday,2047-01-12,2:21:24 am,[**]
Sunday,2047-02-10,3:39:54 pm,
Tuesday,2047-03-12,2:37:06 am,
Wednesday,2047-04-10,12:35:24 pm,
Thursday,2047-05-09,8:24:36 pm,
Saturday,2047-06-08,4:05:00 am,
Sunday,2047-07-07,12:33:54 pm,[**]
Monday,2047-08-05,10:38:36 pm,
Wednesday,2047-09-04,10:54:18 am,
Friday,2047-10-04,1:42:06 am,
Saturday,2047-11-02,5:58:12 pm,
Monday,2047-12-02,12:55:12 pm,
Wednesday,2048-01-01,7:57:12 am,[**]
Friday,2048-01-31,1:14:24 am,
Saturday,2048-02-29,3:38:12 pm,
Monday,2048-03-30,4:04:30 am,
Tuesday,2048-04-28,1:13:00 pm,
Wednesday,2048-05-27,8:57:18 pm,
Friday,2048-06-26,4:08:12 am,[*]
Saturday,2048-07-25,11:34:00 am,
Sunday,2048-08-23,8:07:12 pm,
Tuesday,2048-09-22,6:46:36 am,
Wednesday,2048-10-21,8:25:00 pm,
Friday,2048-11-20,12:19:36 pm,
Sunday,2048-12-20,7:39:18 am,[/]
Tuesday,2049-01-19,3:29:12 am,
Wednesday,2049-02-17,9:47:30 pm,
Friday,2049-03-19,1:23:24 pm,
Sunday,2049-04-18,3:04:48 am,
Monday,2049-05-17,1:13:48 pm,[/]
Tuesday,2049-06-15,9:26:54 pm,[/]
Thursday,2049-07-15,4:29:42 am,
Friday,2049-08-13,11:19:36 am,
Saturday,2049-09-11,7:04:24 pm,
Monday,2049-10-11,4:53:18 am,
Tuesday,2049-11-09,4:38:00 pm,[/]
Thursday,2049-12-09,8:28:06 am,
Saturday,2050-01-08,2:39:06 am,
Sunday,2050-02-06,9:47:30 pm,
Tuesday,2050-03-08,4:23:18 pm,
Thursday,2050-04-07,10:12:12 am,
Saturday,2050-05-07,12:26:12 am,[**]
Sunday,2050-06-05,11:51:12 am,
Monday,2050-07-04,8:51:00 pm,
Wednesday,2050-08-03,4:20:30 am,
Thursday,2050-09-01,11:30:54 am,
Friday,2050-09-30,7:31:48 pm,[+]
Sunday,2050-10-30,4:16:00 am,[**]
Monday,2050-11-28,4:09:48 pm,
Wednesday,2050-12-28,6:15:36 am,
